FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee
tcl_sytral.tclarret.1065,1065,Grand Chassagnon,"60A:R,93A:A",false,false,false,12942,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.8637918741147805 45.701380419092985),3 RUE DU 19 MARS 1962,false,Vénissieux,69259
tcl_sytral.tclarret.1683,1683,Les Gambins,"84A:A,84A:R,R2A:A,R2A:R",false,false,false,13296,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.796119889853421 45.85272549219041),27 MONTEE DES CHAVANNES,false,Poleymieux-au-Mont-d'Or,69153
tcl_sytral.tclarret.1685,1685,Les Gaulnes,95A:A,true,false,false,13297,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (5.03426992906241 45.79160795079571),11 RUE NATIONALE,true,Jonage,69279
tcl_sytral.tclarret.1686,1686,Les Gaulnes,95A:R,true,false,false,13298,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (5.033863925443742 45.791452961088126),6 RUE NATIONALE,true,Jonage,69279
tcl_sytral.tclarret.37847,37847,Esplanade des Arts,"50A:A,ZI1A:A",true,false,false,15486,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.940694708819779 45.6944092349362),1 BOULEVARD EDOUARD HERRIOT,true,Saint-Priest,69290
tcl_sytral.tclarret.37895,37895,La Garenne,"39A:A,60A:A",true,false,false,15487,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.858939403993526 45.66715165723475),42 ROUTE DE VIENNE,true,Feyzin,69276
tcl_sytral.tclarret.37903,37903,College Evariste Galois,"85A:A,95A:A",false,false,false,15488,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.9933821006079855 45.77097686486131),BOULEVARD DU 18 JUIN 1940,false,Meyzieu,69282
tcl_sytral.tclarret.37907,37907,Meyzieu Bascule,85A:R,false,false,false,15489,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.996022651396436 45.76578181244083),11 RUE GAMBETTA,true,Meyzieu,69282
tcl_sytral.tclarret.37980,37980,Lycee Cuzin,70A:R,true,false,false,15491,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.856020859346348 45.801090849936976),41 CHEMIN DE CREPIEUX,true,Caluire-et-Cuire,69034
tcl_sytral.tclarret.38025,38025,Flacheres,78C:A,true,false,false,15492,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.79479939242474 45.64203068877559),727 CHEMIN DES FLACHERES,false,Charly,69046
